path,h1_count,h2_count,heading_count,unique_slugs,duplicate_slugs,cross_file_duplicate_slugs,allowlisted_slugs
.repo_studios/docs/playbooks/playbook-agent-operations.md,1,7,8,8,,agent-block-machine-readable,
.repo_studios/docs/playbooks/playbook-memory-refresh.md,1,9,10,10,,agent-block-machine-readable;outputs;success-criteria,
.repo_studios/docs/playbooks/playbook-migration.md,1,5,6,6,,agent-block-machine-readable,
.repo_studios/docs/playbooks/playbook-prompt-library.md,1,6,7,7,,agent-block-machine-readable,
.repo_studios/docs/project_tree_overview.md,1,0,1,1,,,
.repo_studios/docs/repo_studios_build_plan.md,1,9,10,10,,phase-1-foundation-inventory;phase-2-migration-normalization;phase-3-automation-quality-gates,
.repo_studios/docs/standards/docs_index.md,1,1,2,2,,,
.repo_studios/docs/standards/global/README.md,1,2,3,3,,authoring-guidelines;migration-notes,
.repo_studios/docs/standards/global/std-global-chainlit-ui.md,1,13,14,14,,anchor-health-cross-link,
.repo_studios/docs/standards/global/std-global-code-cleanup.md,3,8,11,11,,anchor-health-cross-link;self-improvement-protocol,
.repo_studios/docs/standards/global/std-global-css-authoring.md,0,5,5,5,,,
.repo_studios/docs/standards/global/std-global-html-coding.md,1,13,14,14,,agent-block-machine-readable;anchor-health-cross-link;anti-patterns-to-avoid;change-history;quick-checklists;references;self-improvement-protocol,
.repo_studios/docs/standards/global/std-global-javascript-engineering.md,0,5,5,5,,,
.repo_studios/docs/standards/global/std-global-markdown-authoring.md,0,13,13,13,,agent-block-machine-readable;anti-patterns-to-avoid,
.repo_studios/docs/standards/global/std-global-mission-parameters.md,0,10,10,10,,success-criteria,
.repo_studios/docs/standards/global/std-global-monkey-patching.md,1,14,15,15,,agent-block-machine-readable;anchor-health-reminder;anti-patterns;quick-checklists;references,
.repo_studios/docs/standards/global/std-global-prompt-engineering.md,1,12,13,13,,agent-block-machine-readable;anchor-health-reminder;anti-patterns;change-history;purpose;quick-checklists;references,
.repo_studios/docs/standards/global/std-global-python-engineering.md,1,18,19,19,,agent-block-machine-readable;anchor-health-reminder;anti-patterns-to-avoid;packaging-dependencies,
.repo_studios/docs/standards/project/README.md,1,3,4,4,,authoring-guidelines;migration-notes,
.repo_studios/docs/standards/project/std-project-operating-standard.md,1,10,11,11,,agent-block-machine-readable;anchor-health-reminder,
.repo_studios/docs/standards/project/std-project-python-instructions.md,22,4,26,26,,,
.repo_studios/docs/templates/agent_note_template.md,2,4,6,6,,context,
.repo_studios/docs/templates/integration_alignment_template.md,1,12,13,13,,decisions-captured;outstanding-considerations,
.repo_studios/docs/templates/script_inventory.md,1,0,1,1,,script-inventory-template,
.repo_studios/docs/templates/script_inventory_template.md,1,5,6,6,,script-inventory-template,
.repo_studios/docs/templates/structural_checklist_template.md,2,4,6,6,,phase-1-foundation-inventory;phase-2-migration-normalization;phase-3-automation-quality-gates,notes
automation/examples/healthview_manifest_example.md,1,2,3,3,,,
automation/orchestrator_implementation.md,1,17,18,18,,context,
automation/orchestrator_legacy_cleanup_checklist.md,1,8,9,9,,purpose,
automation/orchestrator_migration_announcement.md,1,5,6,6,,,overview
automation/orchestrator_topic_refactor_rfc.md,1,14,15,15,,,
standards/docs_index.md,1,4,5,5,,,
standards/global/std-docs-integrity-handbook.md,1,0,1,1,,,
standards/global/std-global-chainlit-ui.md,1,4,5,5,,error-handling,
standards/global/std-global-code-cleanup.md,1,3,4,4,,,
standards/global/std-global-html-coding.md,1,4,5,5,,,
standards/global/std-global-markdown-authoring.md,0,7,7,7,,,
standards/global/std-global-mission-parameters.md,1,4,5,5,,,
standards/global/std-global-monkey-patching.md,1,4,5,5,,,
standards/global/std-global-prompt-engineering.md,1,4,5,5,,,
standards/global/std-global-python-engineering.md,1,4,5,5,,error-handling;packaging-dependencies;testing-discipline,
standards/project/std-project-operating-standard.md,1,3,4,4,,,
standards/project/std-project-python-instructions.md,1,3,4,4,,testing-discipline,
templates/meta_prompts.md,0,0,0,0,,,
templates/test_execution_telemetry_summary_template.md,1,5,6,6,,,
