module	entity_type	qualified_name	line	reason
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Paths	143	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Options	150	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.ScanOptions	155	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Finding	166	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.Finding.to_dict	183	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.__init__	216	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.visit_Import	221	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.visit_ImportFrom	229	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.__init__	243	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.current	246	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_FunctionDef	256	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_AsyncFunctionDef	261	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_ClassDef	266	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.read_lines	272	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.get_context	279	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.get_nearby_comment	286	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.is_path_in_tests	305	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.top_level_packages_default	314	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.base_module_name	333	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.dotted_name_from_attribute	339	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.is_alias_external	352	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.classify_intent	361	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.add_git_blame	379	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner	417	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.__init__	418	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.generic_visit	437	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Assign	445	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_AnnAssign	449	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_AugAssign	453	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Call	457	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Delete	519	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_FunctionDef	534	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_ClassDef	550	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.scan_file	747	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.iter_python_files	806	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.augment_findings_with_git	832	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.summarize_findings	848	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.compose_payload	858	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.render_markdown_report	904	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.render_log	950	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.ensure_run_directory	967	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.write_artifacts	1067	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.prune_history	1110	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.scan_repository	1123	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.run_self_test	1151	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.parse_args	1222	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.configure_logging	1283	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.build_paths	1287	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.run	1291	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.main	1356	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	class	.repo_studios.scripts.producers.validate_inventory.ValidationIssue	81	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationIssue.to_dict	87	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	class	.repo_studios.scripts.producers.validate_inventory.ValidationReport	101	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationReport.add	104	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationReport.errors	108	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationReport.warnings	112	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationReport.to_json	115	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	class	.repo_studios.scripts.producers.validate_inventory.ValidationStats	120	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidationStats.to_dict	124	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	class	.repo_studios.scripts.producers.validate_inventory.EnumRegistry	132	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.EnumRegistry.load	136	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.EnumRegistry.ensure	144	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	class	.repo_studios.scripts.producers.validate_inventory.ValidatorConfig	165	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidatorConfig.load	172	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	method	.repo_studios.scripts.producers.validate_inventory.ValidatorConfig.is_suppressed	191	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	function	.repo_studios.scripts.producers.validate_inventory.prune_old_runs	224	missing docstring
.repo_studios/scripts/producers/validate_inventory.py	function	.repo_studios.scripts.producers.validate_inventory.update_latest_artifacts	242	missing docstring
